ID;Chauffeur;Auto;Gereden_kilometers;Bijrijder_kilometers;Botsing
1;Vrouw;Ford;70;110;Geen botsing
2;Vrouw;Ford;99,4418150813994;98,1772311510262;Geen botsing
3;Man;Ford;97;105;Wel botsing
4;Vrouw;Ford;94,593376304927;105,658975239816;Geen botsing
5;Vrouw;Ford;72,1607542885905;84,2216512887245;Geen botsing
6;Man;Ford;73,494138829428;72,0047820210636;Wel botsing
7;Vrouw;Ford;95,2407416520341;83,7704455336257;Geen botsing
8;Vrouw;Ford;124,508315665675;115,276887295795;Geen botsing
9;Vrouw;Ford;97,2012164462993;84,0240644533823;Geen botsing
10;Vrouw;Ford;95,2455933752147;104,475686720261;Wel botsing
11;Man;Ford;94,8941824326727;91,7701360920879;Wel botsing
12;Vrouw;Ford;82,5949390067361;96,2054131610892;Geen botsing
13;Vrouw;Ford;121,408812818504;109,830785756386;Wel botsing
14;Man;Ford;86,9193314809929;105,776035514904;Wel botsing
15;Vrouw;Ford;93,2881584335885;108,906086346211;Geen botsing
16;Vrouw;Ford;73,221940923301;73,3155686480976;Wel botsing
17;Man;Ford;77,1382400856068;83,2709349819174;Geen botsing
18;Vrouw;Ford;115,195916909358;126,911987777433;Wel botsing
19;Man;Ford;111,025415206734;118,100220373307;Geen botsing
20;Vrouw;Ford;108,758817753175;96,996563090363;Wel botsing
21;Vrouw;Ford;100,213175028787;81,8124679180249;Geen botsing
22;Man;Ford;86,7958675023449;97,0168995965553;Wel botsing
23;Vrouw;Ford;122,75074298736;127,881299291368;Wel botsing
24;Vrouw;Ford;96,0047795547166;115,917423549853;Geen botsing
25;Vrouw;Ford;99,7789398164313;111,208866684959;Wel botsing
26;Vrouw;Audi;120,45357450785;119,381944037395;Wel botsing
27;Vrouw;Audi;96,7895060466621;96,9858333008383;Wel botsing
28;Man;Audi;95,221526954217;94,8946703038049;Wel botsing
29;Vrouw;Audi;110,431552993744;121,19057953605;Wel botsing
30;Vrouw;Audi;85,2879967234921;87,8508888289224;Wel botsing
31;Man;Audi;99,948339176976;107,693887555652;Geen botsing
32;Vrouw;Audi;115,867011148597;134,099175926412;Wel botsing
33;Man;Audi;79,2275644049682;65,3449754782654;Wel botsing
34;Man;Audi;95,7921968980413;106,733333008615;Wel botsing
35;Vrouw;Audi;88,3054087689305;76,974630527773;Wel botsing
36;Man;Audi;95,2817704491827;78,1063985080036;Wel botsing
37;Vrouw;Audi;82,9129400648933;79,2413872317236;Wel botsing
38;Man;Audi;117,211493158099;110,374378805366;Geen botsing
39;Man;Audi;120,320225691721;117,518237570599;Geen botsing
40;Man;Audi;81,6663948748499;98,6133461039752;Geen botsing
41;Man;Audi;99,4952461986516;82,170972504345;Wel botsing
42;Man;Audi;105,996796374082;116,351652220695;Geen botsing
43;Man;Audi;100,395933632325;87,8802592536022;Wel botsing
44;Man;Audi;106,098867123568;91,8985798522773;Wel botsing
45;Man;Audi;101,9075991398;109,662485498777;Wel botsing
46;Man;Audi;95,2306774723159;77,4694954919444;Wel botsing
47;Vrouw;Audi;112,39719543465;122,743752787342;Wel botsing
48;Man;Audi;100,990951162813;92,7139859768135;Geen botsing
49;Vrouw;Audi;100,892278272213;92,1010183762031;Wel botsing
50;Man;Audi;104,616251967142;91,3912367739178;Geen botsing
51;Man;Toyota;82,1068540789388;72,2142548166417;Wel botsing
52;Vrouw;Toyota;64,1118401088029;65,5105591401666;Wel botsing
53;Man;Toyota;111,91499276844;128,301378481213;Geen botsing
54;Man;Toyota;116,126819307322;100,648364054377;Wel botsing
55;Vrouw;Toyota;106,14126656459;118,526892891836;Geen botsing
56;Man;Toyota;85,4485427354478;102,190173583945;Wel botsing
57;Vrouw;Toyota;93,243226933412;100,113853464953;Wel botsing
58;Vrouw;Toyota;135,197377462917;133,6557183797;Geen botsing
59;Man;Toyota;89,9015244741829;80,7244330768378;Geen botsing
60;Vrouw;Toyota;92,7207346419132;107,499964070532;Geen botsing
61;Man;Toyota;115,901229369385;124,361928134156;Wel botsing
62;Vrouw;Toyota;114,540884287777;114,087958467873;Wel botsing
63;Man;Toyota;83,2829415096428;103,769434568145;Wel botsing
64;Man;Toyota;126,416703553405;135,260070433375;Wel botsing
65;Man;Toyota;107,204363190948;88,8223690515444;Wel botsing
66;Vrouw;Toyota;90,0341751794643;89,093563187433;Wel botsing
67;Man;Toyota;98,3404388439092;94,580407683942;Geen botsing
68;Man;Toyota;117,068737413921;116,581026788988;Wel botsing
69;Vrouw;Toyota;115,551397643072;109,064695737345;Geen botsing
70;Vrouw;Toyota;68,1135115166091;83,9154833172344;Geen botsing
71;Man;Toyota;125,647763465624;111,56575615434;Geen botsing
72;Man;Toyota;93,3480419956057;105,477534032604;Geen botsing
73;Man;Toyota;106,936507690322;94,9304116178268;Wel botsing
74;Man;Toyota;98,7846608685506;114,125942986662;Wel botsing
75;Vrouw;Toyota;78,9326736962194;76,8075433855648;Wel botsing
76;Man;Volkswagen;113,053783866136;103,499488218247;Geen botsing
77;Vrouw;Volkswagen;92,8690508220705;74,9881100904557;Wel botsing
78;Vrouw;Volkswagen;86,4448322477664;70,4830513681198;Geen botsing
79;Vrouw;Volkswagen;70,1724891973208;84,8079191607903;Geen botsing
80;Vrouw;Volkswagen;111,446130840102;103,607784351329;Geen botsing
81;Man;Volkswagen;93,786542595776;107,319543247523;Wel botsing
82;Vrouw;Volkswagen;87,5475416942512;83,5435010953819;Geen botsing
83;Man;Volkswagen;87,0195709339583;98,3801549508477;Geen botsing
84;Vrouw;Volkswagen;69,3258077288156;83,6807878548389;Geen botsing
85;Vrouw;Volkswagen;92,8580112388475;101,372521803354;Wel botsing
86;Man;Volkswagen;70,5671183070674;57,284328592433;Geen botsing
87;Man;Volkswagen;74,1748589966527;67,8384461607865;Geen botsing
88;Vrouw;Volkswagen;105,611949141895;115,274028975343;Wel botsing
89;Vrouw;Volkswagen;110,639010764794;109,340779900686;Wel botsing
90;Vrouw;Volkswagen;91,5462383792141;87,6397032119671;Wel botsing
91;Man;Volkswagen;105,731407693193;113,737627989219;Geen botsing
92;Vrouw;Volkswagen;125,262147806594;136,304419327536;Wel botsing
93;Man;Volkswagen;101,148734334811;88,8833777829547;Geen botsing
94;Vrouw;Volkswagen;111,095819577453;122,574628457305;Wel botsing
95;Man;Volkswagen;79,9954475982413;93,9537720566914;Geen botsing
96;Vrouw;Volkswagen;84,4542901936931;77,827050836013;Geen botsing
97;Vrouw;Volkswagen;84,5053160048738;89,0053545579031;Geen botsing
98;Vrouw;Volkswagen;96,6082117784195;84,3759128752523;Wel botsing
99;Man;Volkswagen;103,90556001116;108,78759100486;Geen botsing
100;Vrouw;Volkswagen;81,0339517821537;70,1837727208601;Wel botsing
