ID;Chauffeur;Auto;Gereden_kilometers;Bijrijder_kilometers;Botsing
1;1;1;70;110;0
2;1;1;99,4418150813994;98,1772311510262;0
3;0;1;97;105;1
4;1;1;94,593376304927;105,658975239816;0
5;1;1;72,1607542885905;84,2216512887245;0
6;0;1;73,494138829428;72,0047820210636;1
7;1;1;95,2407416520341;83,7704455336257;0
8;1;1;124,508315665675;115,276887295795;0
9;1;1;97,2012164462993;84,0240644533823;0
10;1;1;95,2455933752147;104,475686720261;1
11;0;1;94,8941824326727;91,7701360920879;1
12;1;1;82,5949390067361;96,2054131610892;0
13;1;1;121,408812818504;109,830785756386;1
14;0;1;86,9193314809929;105,776035514904;1
15;1;1;93,2881584335885;108,906086346211;0
16;1;1;73,221940923301;73,3155686480976;1
17;0;1;77,1382400856068;83,2709349819174;0
18;1;1;115,195916909358;126,911987777433;1
19;0;1;111,025415206734;118,100220373307;0
20;1;1;108,758817753175;96,996563090363;1
21;1;1;100,213175028787;81,8124679180249;0
22;0;1;86,7958675023449;97,0168995965553;1
23;1;1;122,75074298736;127,881299291368;1
24;1;1;96,0047795547166;115,917423549853;0
25;1;1;99,7789398164313;111,208866684959;1
26;1;2;120,45357450785;119,381944037395;1
27;1;2;96,7895060466621;96,9858333008383;1
28;0;2;95,221526954217;94,8946703038049;1
29;1;2;110,431552993744;121,19057953605;1
30;1;2;85,2879967234921;87,8508888289224;1
31;0;2;99,948339176976;107,693887555652;0
32;1;2;115,867011148597;134,099175926412;1
33;0;2;79,2275644049682;65,3449754782654;1
34;0;2;95,7921968980413;106,733333008615;1
35;1;2;88,3054087689305;76,974630527773;1
36;0;2;95,2817704491827;78,1063985080036;1
37;1;2;82,9129400648933;79,2413872317236;1
38;0;2;117,211493158099;110,374378805366;0
39;0;2;120,320225691721;117,518237570599;0
40;0;2;81,6663948748499;98,6133461039752;0
41;0;2;99,4952461986516;82,170972504345;1
42;0;2;105,996796374082;116,351652220695;0
43;0;2;100,395933632325;87,8802592536022;1
44;0;2;106,098867123568;91,8985798522773;1
45;0;2;101,9075991398;109,662485498777;1
46;0;2;95,2306774723159;77,4694954919444;1
47;1;2;112,39719543465;122,743752787342;1
48;0;2;100,990951162813;92,7139859768135;0
49;1;2;100,892278272213;92,1010183762031;1
50;0;2;104,616251967142;91,3912367739178;0
51;0;3;82,1068540789388;72,2142548166417;1
52;1;3;64,1118401088029;65,5105591401666;1
53;0;3;111,91499276844;128,301378481213;0
54;0;3;116,126819307322;100,648364054377;1
55;1;3;106,14126656459;118,526892891836;0
56;0;3;85,4485427354478;102,190173583945;1
57;1;3;93,243226933412;100,113853464953;1
58;1;3;135,197377462917;133,6557183797;0
59;0;3;89,9015244741829;80,7244330768378;0
60;1;3;92,7207346419132;107,499964070532;0
61;0;3;115,901229369385;124,361928134156;1
62;1;3;114,540884287777;114,087958467873;1
63;0;3;83,2829415096428;103,769434568145;1
64;0;3;126,416703553405;135,260070433375;1
65;0;3;107,204363190948;88,8223690515444;1
66;1;3;90,0341751794643;89,093563187433;1
67;0;3;98,3404388439092;94,580407683942;0
68;0;3;117,068737413921;116,581026788988;1
69;1;3;115,551397643072;109,064695737345;0
70;1;3;68,1135115166091;83,9154833172344;0
71;0;3;125,647763465624;111,56575615434;0
72;0;3;93,3480419956057;105,477534032604;0
73;0;3;106,936507690322;94,9304116178268;1
74;0;3;98,7846608685506;114,125942986662;1
75;1;3;78,9326736962194;76,8075433855648;1
76;0;4;113,053783866136;103,499488218247;0
77;1;4;92,8690508220705;74,9881100904557;1
78;1;4;86,4448322477664;70,4830513681198;0
79;1;4;70,1724891973208;84,8079191607903;0
80;1;4;111,446130840102;103,607784351329;0
81;0;4;93,786542595776;107,319543247523;1
82;1;4;87,5475416942512;83,5435010953819;0
83;0;4;87,0195709339583;98,3801549508477;0
84;1;4;69,3258077288156;83,6807878548389;0
85;1;4;92,8580112388475;101,372521803354;1
86;0;4;70,5671183070674;57,284328592433;0
87;0;4;74,1748589966527;67,8384461607865;0
88;1;4;105,611949141895;115,274028975343;1
89;1;4;110,639010764794;109,340779900686;1
90;1;4;91,5462383792141;87,6397032119671;1
91;0;4;105,731407693193;113,737627989219;0
92;1;4;125,262147806594;136,304419327536;1
93;0;4;101,148734334811;88,8833777829547;0
94;1;4;111,095819577453;122,574628457305;1
95;0;4;79,9954475982413;93,9537720566914;0
96;1;4;84,4542901936931;77,827050836013;0
97;1;4;84,5053160048738;89,0053545579031;0
98;1;4;96,6082117784195;84,3759128752523;1
99;0;4;103,90556001116;108,78759100486;0
100;1;4;81,0339517821537;70,1837727208601;1
